name,CKSAAGP_alphaticr.alphaticr.gap0,CKSAAGP_alphaticr.aromatic.gap0,CKSAAGP_alphaticr.postivecharger.gap0,CKSAAGP_alphaticr.negativecharger.gap0,CKSAAGP_alphaticr.uncharger.gap0,CKSAAGP_aromatic.alphaticr.gap0,CKSAAGP_aromatic.aromatic.gap0,CKSAAGP_aromatic.postivecharger.gap0,CKSAAGP_aromatic.negativecharger.gap0,CKSAAGP_aromatic.uncharger.gap0,CKSAAGP_postivecharger.alphaticr.gap0,CKSAAGP_postivecharger.aromatic.gap0,CKSAAGP_postivecharger.postivecharger.gap0,CKSAAGP_postivecharger.negativecharger.gap0,CKSAAGP_postivecharger.uncharger.gap0,CKSAAGP_negativecharger.alphaticr.gap0,CKSAAGP_negativecharger.aromatic.gap0,CKSAAGP_negativecharger.postivecharger.gap0,CKSAAGP_negativecharger.negativecharger.gap0,CKSAAGP_negativecharger.uncharger.gap0,CKSAAGP_uncharger.alphaticr.gap0,CKSAAGP_uncharger.aromatic.gap0,CKSAAGP_uncharger.postivecharger.gap0,CKSAAGP_uncharger.negativecharger.gap0,CKSAAGP_uncharger.uncharger.gap0,CKSAAGP_alphaticr.alphaticr.gap1,CKSAAGP_alphaticr.aromatic.gap1,CKSAAGP_alphaticr.postivecharger.gap1,CKSAAGP_alphaticr.negativecharger.gap1,CKSAAGP_alphaticr.uncharger.gap1,CKSAAGP_aromatic.alphaticr.gap1,CKSAAGP_aromatic.aromatic.gap1,CKSAAGP_aromatic.postivecharger.gap1,CKSAAGP_aromatic.negativecharger.gap1,CKSAAGP_aromatic.uncharger.gap1,CKSAAGP_postivecharger.alphaticr.gap1,CKSAAGP_postivecharger.aromatic.gap1,CKSAAGP_postivecharger.postivecharger.gap1,CKSAAGP_postivecharger.negativecharger.gap1,CKSAAGP_postivecharger.uncharger.gap1,CKSAAGP_negativecharger.alphaticr.gap1,CKSAAGP_negativecharger.aromatic.gap1,CKSAAGP_negativecharger.postivecharger.gap1,CKSAAGP_negativecharger.negativecharger.gap1,CKSAAGP_negativecharger.uncharger.gap1,CKSAAGP_uncharger.alphaticr.gap1,CKSAAGP_uncharger.aromatic.gap1,CKSAAGP_uncharger.postivecharger.gap1,CKSAAGP_uncharger.negativecharger.gap1,CKSAAGP_uncharger.uncharger.gap1,CKSAAGP_alphaticr.alphaticr.gap2,CKSAAGP_alphaticr.aromatic.gap2,CKSAAGP_alphaticr.postivecharger.gap2,CKSAAGP_alphaticr.negativecharger.gap2,CKSAAGP_alphaticr.uncharger.gap2,CKSAAGP_aromatic.alphaticr.gap2,CKSAAGP_aromatic.aromatic.gap2,CKSAAGP_aromatic.postivecharger.gap2,CKSAAGP_aromatic.negativecharger.gap2,CKSAAGP_aromatic.uncharger.gap2,CKSAAGP_postivecharger.alphaticr.gap2,CKSAAGP_postivecharger.aromatic.gap2,CKSAAGP_postivecharger.postivecharger.gap2,CKSAAGP_postivecharger.negativecharger.gap2,CKSAAGP_postivecharger.uncharger.gap2,CKSAAGP_negativecharger.alphaticr.gap2,CKSAAGP_negativecharger.aromatic.gap2,CKSAAGP_negativecharger.postivecharger.gap2,CKSAAGP_negativecharger.negativecharger.gap2,CKSAAGP_negativecharger.uncharger.gap2,CKSAAGP_uncharger.alphaticr.gap2,CKSAAGP_uncharger.aromatic.gap2,CKSAAGP_uncharger.postivecharger.gap2,CKSAAGP_uncharger.negativecharger.gap2,CKSAAGP_uncharger.uncharger.gap2,CKSAAGP_alphaticr.alphaticr.gap3,CKSAAGP_alphaticr.aromatic.gap3,CKSAAGP_alphaticr.postivecharger.gap3,CKSAAGP_alphaticr.negativecharger.gap3,CKSAAGP_alphaticr.uncharger.gap3,CKSAAGP_aromatic.alphaticr.gap3,CKSAAGP_aromatic.aromatic.gap3,CKSAAGP_aromatic.postivecharger.gap3,CKSAAGP_aromatic.negativecharger.gap3,CKSAAGP_aromatic.uncharger.gap3,CKSAAGP_postivecharger.alphaticr.gap3,CKSAAGP_postivecharger.aromatic.gap3,CKSAAGP_postivecharger.postivecharger.gap3,CKSAAGP_postivecharger.negativecharger.gap3,CKSAAGP_postivecharger.uncharger.gap3,CKSAAGP_negativecharger.alphaticr.gap3,CKSAAGP_negativecharger.aromatic.gap3,CKSAAGP_negativecharger.postivecharger.gap3,CKSAAGP_negativecharger.negativecharger.gap3,CKSAAGP_negativecharger.uncharger.gap3,CKSAAGP_uncharger.alphaticr.gap3,CKSAAGP_uncharger.aromatic.gap3,CKSAAGP_uncharger.postivecharger.gap3,CKSAAGP_uncharger.negativecharger.gap3,CKSAAGP_uncharger.uncharger.gap3,target
CPP_negative_1735,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0
CPP_negative_1736,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
CPP_negative_1737,3.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0
CPP_negative_1738,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0
CPP_negative_1739,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
CPP_negative_1740,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
CPP_negative_1741,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0
CPP_negative_1742,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
CPP_negative_1743,4.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,5.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,2.0,0
CPP_negative_1744,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
CPP_negative_1745,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
CPP_negative_1746,9.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,10.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,8.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,0
CPP_negative_1747,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,7.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,9.0,0
CPP_negative_1748,6.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
CPP_negative_1749,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0
CPP_negative_1750,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0
CPP_negative_1751,1.0,1.0,0.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,0
CPP_negative_1752,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0
CPP_negative_1753,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_negative_1754,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,3.0,0.0,8.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,2.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,2.0,5.0,0
CPP_negative_1755,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
CPP_negative_1756,3.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,3.0,1.0,4.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,2.0,0
CPP_negative_1757,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0
CPP_negative_1758,4.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
CPP_negative_1759,2.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,4.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,7.0,0
CPP_negative_1760,2.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,5.0,3.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,0
CPP_negative_1761,8.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,9.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,7.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,8.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0
CPP_negative_1762,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0
